time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-08-07 00:00:00+00:00,34,14,112,34
2026-08-08 00:00:00+00:00,4,4,7,6
2026-08-09 00:00:00+00:00,11,6,11,9
2026-08-10 00:00:00+00:00,9,5,78,34
2026-08-11 00:00:00+00:00,5,4,109,34
2026-08-12 00:00:00+00:00,28,18,133,52
2026-08-13 00:00:00+00:00,19,6,48,32
2026-08-14 00:00:00+00:00,3,3,64,32
2026-08-15 00:00:00+00:00,14,5,16,11
2026-08-16 00:00:00+00:00,10,5,20,7
2026-08-17 00:00:00+00:00,16,7,39,23
2026-08-18 00:00:00+00:00,5,5,107,39
2026-08-19 00:00:00+00:00,6,5,74,38
2026-08-20 00:00:00+00:00,12,7,95,40
